Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Gottheimer	Josh		P	NJ05	2024	12/5/2024	20026314
Hon.	Gottheimer	Josh		X	NJ05	2024	4/17/2025	30022707
	Gowett	Christopher James		C	NY22	2024	5/6/2024	10059809
	Granado	Joseph L.		W		2024		8220502
	Grandon	Rod		W		2024		8220210
Hon.	Graves	Garret		P	LA06	2024	2/15/2024	20024517
Hon.	Graves	Sam B.	Jr.	O	MO06	2024	5/14/2025	10068661
	Gray	Adam C.		C	CA13	2024	8/13/2024	10062702
	Gray	Adam C.		X	CA13	2024	5/8/2024	8220263
Hon.	Gray	Adam C.		H	CA13	2024	8/13/2025	10067602
Hon.	Gray	Adam C.		X	CA13	2024	5/7/2025	30023179
Hon.	Green	Al		G	TX09	2024	3/20/2024	8220183
Hon.	Green	Al		O	TX09	2024	5/15/2025	10068051
Hon.	Green	Mark Dr		P	TN07	2024	1/17/2024	20024062
Hon.	Green	Mark Dr		P	TN07	2024	2/1/2024	20024413
Hon.	Green	Mark Dr		P	TN07	2024	2/29/2024	20024572
Hon.	Green	Mark Dr		P	TN07	2024	3/13/2024	20024677
Hon.	Green	Mark Dr		P	TN07	2024	4/7/2024	20024800
Hon.	Green	Mark Dr		P	TN07	2024	5/7/2024	20024954
Hon.	Green	Mark Dr		P	TN07	2024	5/14/2024	20025064
Hon.	Green	Mark Dr		P	TN07	2024	6/12/2024	20025255
Hon.	Green	Mark Dr		P	TN07	2024	7/9/2024	20025429
Hon.	Green	Mark Dr		P	TN07	2024	8/11/2024	20025614
Hon.	Green	Mark Dr		P	TN07	2024	9/11/2024	20025797
Hon.	Green	Mark Dr		P	TN07	2024	10/4/2024	20025948
Hon.	Green	Mark Dr		P	TN07	2024	10/29/2024	20026092
Hon.	Green	Mark Dr		P	TN07	2024	12/17/2024	20026418
Hon.	Green	Mark Dr		X	TN07	2024	4/30/2025	30022934
	Greene	Clifford Mark		D	WA09	2024	5/16/2024	40003656
Hon.	Greene	Marjorie Taylor		O	GA14	2024	8/15/2025	10066497
Hon.	Greene	Marjorie Taylor		X	GA14	2024	4/22/2025	30022765
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/1/2024	20024924
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/9/2024	20025021
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/21/2024	20025108
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	6/27/2024	20025337
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	7/24/2024	20025518
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	8/2/2024	20025572
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	8/14/2024	20025675
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	8/22/2024	20025722
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	9/4/2024	20025777
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	9/9/2024	20025821
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	9/23/2024	20025889
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	10/8/2024	20025986
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	10/10/2024	20025998
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	10/22/2024	20026059
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	11/4/2024	20026149
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	11/8/2024	20026174
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	11/21/2024	20026257
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	11/27/2024	20026281
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	12/17/2024	20026428
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	12/27/2024	20026473
	Greene	Shaun Joseph		C	TN07	2024	5/28/2024	10061988
	Greene-Placentia	Bernadette		C	AZ08	2024	1/17/2025	10063280
	Greene-Scott	Marquette		C	TX22	2024	2/4/2024	10056705
Hon.	Griffith	H. Morgan		A	VA09	2024	8/5/2026	10081466
Hon.	Griffith	H. Morgan		O	VA09	2024	5/20/2025	10068911
Hon.	Griffith	H. Morgan		X	VA09	2024	5/14/2025	30023831
Hon.	Grothman	Glenn S.		O	WI06	2024	8/4/2025	10067801
Hon.	Grothman	Glenn S.		P	WI06	2024	5/14/2024	20025026
Hon.	Grothman	Glenn S.		X	WI06	2024	5/9/2025	30023244
	Groves	Ralph		D	FL11	2024	5/14/2024	8220416
	Guarente	Thomas A.		W	TN05	2024	4/11/2024	7926
Hon.	Guest	Michael Patrick		O	MS03	2024	8/8/2025	9115581
Hon.	Guest	Michael Patrick		P	MS03	2024	3/12/2024	20024622
Hon.	Guest	Michael Patrick		P	MS03	2024	12/20/2024	20026412
Hon.	Guest	Michael Patrick		X	MS03	2024	5/6/2025	30023120
	Guinchard	Mary Jo-Ann		C	NJ05	2024	2/20/2024	10056696
	Gulla	Bruno Richard		C	NH02	2024	5/13/2024	10060533
	Gunderson	Matt		C	CA49	2024	8/9/2024	8220610
	Gunderson	Matt		X	CA49	2024	5/8/2024	30021022
Hon.	Guthrie	Brett		O	KY02	2024	5/15/2025	8221136
	Gutmann	Andrew		C	FL22	2024	7/13/2024	10060058
	Gutmann	Andrew		X	FL22	2024	5/14/2024	30021252
Hon.	Hageman	Harriet		O	WY00	2024	8/10/2025	10066903
Hon.	Hageman	Harriet		X	WY00	2024	4/29/2025	30022903
	Hagg	Chad Francis		C	TX25	2024	5/29/2024	10062029
	Halfhill	Adam Scott		C	PA14	2024	4/2/2024	10056954
	Hall	Barbara Harden		D	FL11	2024	2/1/2024	40003594
	Hall	Barbie Harden		C	FL11	2024	6/15/2024	10062282
	Hall	Donyale London		C	DE00	2024	5/15/2024	10061820
	Hall	Stanley Ralph		X	MO01	2024	5/17/2024	30021883
	Hamadeh	Abraham		C	AZ08	2024	5/13/2024	10057706
Hon.	Hamadeh	Abraham		H	AZ08	2024	8/7/2025	10067514
Hon.	Hamadeh	Abraham		X	AZ08	2024	5/6/2025	30023140
	Hamilton	Cameron		A	VA07	2024	6/24/2024	10062339
	Hamilton	Cameron		C	VA07	2024	5/15/2024	10061782
	Hamilton	Darren		C	OK03	2024	5/11/2024	10059634
	Hamilton	Michaelangelo Collins		D	FL23	2024	5/15/2024	40003644
	Hamlen	William P.		C	NH02	2024	8/10/2024	10059641
	Hamlen	William P.		X	NH02	2024	5/8/2024	30021101
	Hammer	Trygve		C	ND00	2024	5/15/2024	10059187
	Hanks	Ron		C	CO03	2024	5/6/2024	10059816
	Harbaugh	Michael Robert		C	OH10	2024	5/14/2024	10061342
	Harbour	Joanna		C	OR03	2024	5/1/2024	10059545
Hon.	Harder	Josh		A	CA09	2024	5/13/2026	10077893
Hon.	Harder	Josh		O	CA09	2024	5/15/2025	10066696
	Haridopolos	Mike		C	FL08	2024	7/2/2024	10062298
	Haridopolos	Mike		X	FL08	2024	5/14/2024	8220302
Hon.	Haridopolos	Mike		A	FL08	2024	8/13/2025	10071617
Hon.	Haridopolos	Mike		H	FL08	2024	8/13/2025	10066231
Hon.	Haridopolos	Mike		X	FL08	2024	4/17/2025	30022711
	Harrigan	Pat		C	NC10	2024	5/15/2024	10059788
Hon.	Harrigan	Pat		H	NC10	2024	8/13/2025	10071886
Hon.	Harrigan	Pat		X	NC10	2024	6/2/2025	8221051
Hon.	Harris	Andy		O	MD01	2024	8/6/2025	10072027
Hon.	Harris	Andy		X	MD01	2024	6/2/2025	8221052
	Harris	Hampton Scott		C	AL02	2024	4/18/2024	10057690
	Harris	Mark E.		C	NC08	2024	5/14/2024	10060109
Hon.	Harris	Mark E.		H	NC08	2024	8/12/2025	10071955
Hon.	Harris	Mark E.		X	NC08	2024	6/2/2025	8221053
	Harris	Shawn		C	GA14	2024	5/15/2024	10061601
Hon.	Harshbarger	Diana		O	TN01	2024	8/13/2025	9115594
Hon.	Harshbarger	Diana		X	TN01	2024	4/21/2025	30022734
	Hartmann	Ray		C	MO02	2024	7/7/2024	10062277
	Hartmann	Ray		X	MO02	2024	5/15/2024	8220363
	Hartmann	Ray		X	MO02	2024	6/18/2024	30022327
	Harvey	Kathryn		C	SC04	2024	10/31/2024	10063066
	Hawkins	Nathaniel Alan		C	OH08	2024	5/7/2024	10060005
Hon.	Hayes	Jahana		O	CT05	2024	5/15/2025	10067897
Dr.	Hayes	James		C	PA12	2024	4/22/2024	10058794
	Hayes	Philip Andrew		D	OK04	2024	5/15/2024	40003651
Mr.	Healy	Philip Mark		C	SC03	2024	5/10/2024	10060570
	Heath	Jeremy L.		C	IN08	2024	4/19/2024	10057589
	Hebron	Mike		D	MO01	2024	7/15/2024	40003676
Mr.	Heimlich	Phil		C	OH02	2024	4/26/2024	10056982
	Heinzer	Clifford		C	VA07	2024	5/20/2024	10061913
	Helgelien	Elizabeth Nicole		C	NV03	2024	5/15/2024	10061217
	Helm	Marshall Todd		D	NC10	2024	1/2/2025	40003700
	Helmer	Daniel		C	VA10	2024	5/15/2024	10059964
	Hemenway	James Vincent		W	CO07	2024	4/23/2024	7942
	Henley	Anne		D	TX12	2024	2/20/2024	8220167
	Hensel	Bentley Foster		A	VA08	2024	5/16/2024	10061875
	Hensel	Bentley Foster		C	VA08	2024	5/15/2024	10060073
	Herman	Thomas		C	CA33	2024	5/11/2024	10060606
	Hermanson	Devin		C	WA02	2024	5/14/2024	10061221
Hon.	Hern	Kevin		O	OK01	2024	8/4/2025	10067143
Hon.	Hern	Kevin		P	OK01	2024	1/13/2024	20024305
Hon.	Hern	Kevin		P	OK01	2024	2/11/2024	20024481
Hon.	Hern	Kevin		P	OK01	2024	3/12/2024	20024669
Hon.	Hern	Kevin		P	OK01	2024	4/12/2024	20024869
Hon.	Hern	Kevin		P	OK01	2024	5/12/2024	20025040
Hon.	Hern	Kevin		P	OK01	2024	6/7/2024	20025232
Hon.	Hern	Kevin		P	OK01	2024	7/15/2024	20025473
Hon.	Hern	Kevin		P	OK01	2024	8/10/2024	20025634
Hon.	Hern	Kevin		P	OK01	2024	10/16/2024	20026033
Hon.	Hern	Kevin		P	OK01	2024	11/15/2024	20026222
Hon.	Hern	Kevin		P	OK01	2024	12/16/2024	20026415
Hon.	Hern	Kevin		X	OK01	2024	5/3/2025	30023030
	Hernandez	Frank		W	CO03	2024	3/4/2024	7922
	Hernandez Rivera	Pablo Jose		C	PR00	2024	8/13/2024	10061791
	Hernandez Rivera	Pablo Jose		X	PR00	2024	5/17/2024	30022151
Hon.	Hernandez Rivera	Pablo Jose		A	PR00	2024	5/15/2025	10068864
Hon.	Hernandez Rivera	Pablo Jose		H	PR00	2024	5/15/2025	10068793
Hon.	Herrell	Stella Yvette		C	NM02	2024	5/15/2024	10060778
	Herrera	Brandon		C	TX23	2024	12/16/2025	10073032
	Hertel	Curtis	Jr.	C	MI07	2024	8/13/2024	10062632
	Hertel	Curtis	Jr.	X	MI07	2024	5/15/2024	8220364
Mr.	Hewett	Don		C	WA10	2024	5/15/2024	10061602
	Hewitt	Patti		C	GA01	2024	3/4/2024	10056847
	Hicks	Justin		C	MO03	2024	5/13/2024	10059270
Hon.	Higgins	Brian		T	NY26	2024	4/5/2024	10056951
Hon.	Higgins	Clay Captain		O	LA03	2024	4/29/2025	10066898
	Higgins	Sean		C	ID02	2024	1/28/2026	10073270
Hon.	Hill	James French		O	AR02	2024	5/15/2025	10067037
Hon.	Hill	James French		P	AR02	2024	1/10/2024	20024215
Hon.	Himes	James A.		O	CT04	2024	6/24/2025	10067525
Hon.	Himes	James A.		X	CT04	2024	5/6/2025	30023148
	Holder	Derrick Ross		D	IN04	2024	2/8/2024	8220158
	Holmes	Thomas Bethune		C	AL01	2024	5/26/2024	10061979
	Holmes	Thomas Bethune		D	AL01	2024	2/5/2024	40003600
	Hood	Ron		C	OH02	2024	2/8/2024	10056667
	Hood	Ron		X	OH02	2024	1/29/2024	30019580
	Hood	Ron		X	OH02	2024	2/12/2024	30019589
Dr.	Hook	Kristin A.		C	TX21	2024	5/15/2024	10061526
	Hooper	James D.		C	MI12	2024	9/7/2024	10062891
	Hopkins	Ronnie		D	OK02	2024	8/1/2024	40003678
	Horne	Andrew		C	AZ01	2024	7/1/2024	10060675
	Horne	Andrew		X	AZ01	2024	5/14/2024	30021539
Hon.	Horsford	Steven A.		O	NV04	2024	7/14/2025	10068146
Hon.	Horsford	Steven A.		X	NV04	2024	5/12/2025	30023441
Hon.	Hostettler	John		C	IN08	2024	11/4/2024	10060036
Hon.	Houchin	Erin		O	IN09	2024	8/11/2025	10066619
Hon.	Houchin	Erin		X	IN09	2024	4/23/2025	30022810
	Houck	Mark Justin	Sr.	C	PA01	2024	5/15/2024	10061831
Hon.	Houlahan	Chrissy		O	PA06	2024	8/13/2025	10068914
Hon.	Houlahan	Chrissy		X	PA06	2024	5/14/2025	30023832
	Houlahan	Stephen William		A	CA48	2024	4/19/2024	10058837
	Houlahan	Stephen William		C	CA48	2024	4/19/2024	10057731
	Howe	John Wayne		C	AK00	2024	10/4/2024	10062926
	Howe	John Wayne		D	AK00	2024	10/15/2024	8220668
Hon.	Hoyer	Steny H.		O	MD05	2024	5/28/2025	10066888
Hon.	Hoyer	Steny H.		X	MD05	2024	4/29/2025	30022896
Hon.	Hoyle	Valerie		O	OR04	2024	9/12/2025	10072205
Hon.	Hoyle	Valerie		X	OR04	2024	6/2/2025	8221058
	Hubbard	Chuck		C	NC05	2024	5/3/2024	10059673
	Hudson	Paul		C	MI03	2024	5/12/2024	10060642
Hon.	Hudson	Richard		O	NC09	2024	6/6/2025	10070452
Hon.	Hudson	Richard		X	NC09	2024	6/2/2025	8221059
Hon.	Huffman	Jared		A	CA02	2024	3/27/2026	10074593
Hon.	Huffman	Jared		O	CA02	2024	9/12/2025	10068632
Hon.	Huffman	Jared		X	CA02	2024	5/14/2025	30023685
Hon.	Huffman	Jared		X	CA02	2024	7/15/2025	30025274
	Hughes	Charles M.		C	IL06	2024	3/12/2024	10056891
Hon.	Huizenga	Bill		O	MI04	2024	6/30/2025	10071649
Hon.	Hunt	Wesley		O	TX38	2024	8/12/2025	10068518
Hon.	Hunt	Wesley		X	TX38	2024	5/14/2025	30023624
Hon.	Hurd	Jeffrey		A	CO03	2024	5/12/2026	10076787
Hon.	Hurd	Jeffrey		H	CO03	2024	8/12/2025	10067470
Hon.	Hurd	Jeffrey		X	CO03	2024	5/6/2025	30023115
Mr.	Hurd	Jeffrey S		C	CO03	2024	5/13/2024	10060700
Mr.	Hurt	Erik David		C	IN08	2024	2/19/2024	10056758
	Hurtado	Melissa		W	CA22	2024	5/14/2024	7969
	Hutchison	Evan Hale		C	NY10	2024	5/12/2024	10057005
	Hwang	Tom		C	OH02	2024	3/18/2024	10056912
Ms.	Iroha	Celeste Chizoba		C	MD04	2024	4/18/2024	10057750
Mr.	Isaac	Alexander Hormis	Jr.	C	VA10	2024	5/14/2024	10060580
Hon.	Issa	Darrell E.		O	CA48	2024	8/7/2025	10066267
Hon.	Issa	Darrell E.		P	CA48	2024	9/25/2024	20025909
Hon.	Issa	Darrell E.		P	CA48	2024	9/26/2024	20025913
Hon.	Issa	Darrell E.		X	CA48	2024	4/17/2025	30022717
	Ivanovskis	Jeremy Daniel		D	TX03	2024	4/18/2024	40003623
Hon.	Ivey	Glenn		O	MD04	2024	8/11/2025	10071843
Hon.	Ivey	Glenn		X	MD04	2024	5/15/2025	8220922
Hon.	Ivey	Glenn		X	MD04	2024	6/2/2025	8221061
	Jack	Brian		C	GA03	2024	10/2/2024	10062980
Hon.	Jack	Brian		H	GA03	2024	8/13/2025	10067352
Hon.	Jack	Brian		X	GA03	2024	5/5/2025	30023073
Hon.	Jackson	Jonathan		O	IL01	2024	5/15/2025	10067052
Hon.	Jackson	Jonathan		P	IL01	2024	1/12/2024	20024253
Hon.	Jackson	Jonathan		P	IL01	2024	2/15/2024	20024450
Hon.	Jackson	Jonathan		P	IL01	2024	3/19/2024	20024606
Hon.	Jackson	Jonathan		P	IL01	2024	4/24/2024	20024811
Hon.	Jackson	Jonathan		P	IL01	2024	5/7/2024	20025000
Hon.	Jackson	Jonathan		P	IL01	2024	8/12/2024	20025635
Hon.	Jackson	Jonathan		P	IL01	2024	9/20/2024	20025792
Hon.	Jackson	Jonathan		P	IL01	2024	10/11/2024	20025938
Hon.	Jackson	Jonathan		P	IL01	2024	11/29/2024	20026125
Hon.	Jackson	Jonathan		P	IL01	2024	12/12/2024	20026313
Hon.	Jackson	Ronny Lynn		O	TX13	2024	8/8/2025	10067504
Hon.	Jackson	Ronny Lynn		X	TX13	2024	5/6/2025	30023134
Hon.	Jacobs	Sara		O	CA51	2024	8/13/2025	10066924
Hon.	Jacobs	Sara		X	CA51	2024	4/29/2025	30022914
	Jacque	Andre		C	WI08	2024	5/14/2024	10061135
Ms.	Jahn	Lucinda Kwh		D	CA48	2024	5/15/2024	40003645
Hon.	James	John		A	MI10	2024	8/15/2025	10072219
Hon.	James	John		A	MI10	2024	8/13/2026	10081526
Hon.	James	John		O	MI10	2024	8/13/2025	10066154
Hon.	James	John		P	MI10	2024	9/2/2024	20025719
Hon.	James	John		P	MI10	2024	9/6/2024	20025799
Hon.	James	John		X	MI10	2024	4/16/2025	30022693
	Jasser	M. Zuhdi		A	AZ04	2024	12/31/2025	10073119
	Jasser	M. Zuhdi		C	AZ04	2024	6/28/2024	10060417
	Jasser	M. Zuhdi		X	AZ04	2024	5/14/2024	30021424
Hon.	Jayapal	Pramila		A	WA07	2024	3/7/2026	10074399
Hon.	Jayapal	Pramila		O	WA07	2024	5/14/2025	10067187
	Jayapal	Susheela		C	OR03	2024	5/23/2024	10061973
Hon.	Jeffries	Hakeem S.		O	NY08	2024	5/14/2025	10066511
	Jenkins	Colby C.		C	UT02	2024	5/15/2024	10061440
	Jenkins	David		W		2024		8220159
	Johnson	Arthur Wayne		X	GA02	2024	2/23/2024	8220163
	Johnson	Bernard Eugene		C	TX19	2024	8/6/2024	10062636
Hon.	Johnson	Bill		T	OH06	2024	4/16/2024	10056805
Hon.	Johnson	Bill		X	OH06	2024	2/20/2024	30019614
	Johnson	Drew		C	NV03	2024	7/12/2024	10057752
Hon.	Johnson	Dusty		O	SD00	2024	7/22/2025	10067152
Hon.	Johnson	Dusty		X	SD00	2024	5/2/2025	30023004
Hon.	Johnson	Henry C. "Hank"	Jr.	O	GA04	2024	5/14/2025	10068113
Hon.	Johnson	James Michael		O	LA04	2024	8/13/2025	10071620
Hon.	Johnson	James Michael		X	LA04	2024	5/9/2025	8220873
	Johnson	Julie		C	TX32	2024	8/13/2024	10059677
	Johnson	Julie		X	TX32	2024	5/8/2024	30021107
Hon.	Johnson	Julie		H	TX32	2024	8/12/2025	10066504
Hon.	Johnson	Julie		X	TX32	2024	4/22/2025	30022768
	Johnson	Michael Don		C	FL07	2024	5/30/2025	8220964
	Johnson	Michael Don		C	FL07	2024	7/9/2025	8221178
	Johnson	Michael Don		C	FL07	2024	5/26/2026	9115856
	Johnson	Sheryl		C	SD00	2024	5/6/2024	10059824
	Johnston	Courtney		C	TN05	2024	6/4/2024	10062049
	Jones	Gian A.		C	NY04	2024	4/19/2024	10057764
	Jones	Marcus		C	AR02	2024	5/14/2024	10059433
Hon.	Jones	Mondaire		A	NY17	2024	12/20/2024	10063185
Hon.	Jones	Mondaire		C	NY17	2024	5/15/2024	10061463
	Jones	Stewart		C	SC03	2024	2/26/2024	10056825
Hon.	Jordan	James D		O	OH04	2024	5/7/2025	10067361
Mr.	Joseph	Rodenay		C	FL20	2024	4/23/2025	10066610
	Joshi	Janak		A	CO08	2024	5/26/2024	10061969
	Joshi	Janak		C	CO08	2024	5/15/2024	10061172
	Joshi	Janak		X	CO08	2024	5/17/2024	30021762
	Joss	Eric E.		C	CO08	2024	6/6/2024	10062136
Hon.	Joyce	David P.		O	OH14	2024	8/13/2025	10068786
Hon.	Joyce	David P.		P	OH14	2024	8/6/2024	20021523
Hon.	Joyce	David P.		P	OH14	2024	12/18/2024	20026440
Hon.	Joyce	David P.		X	OH14	2024	5/14/2025	30023760
Hon.	Joyce	John		O	PA13	2024	6/16/2025	10066594
Hon.	Joyce	John		X	PA13	2024	5/9/2025	30023248
	Jude	Tad		C	MN03	2024	2/16/2024	8220164
Mr.	Judge	James Mr	Jr.	C	FL15	2024	5/1/2024	10059382
	Junge	Paul		C	MI08	2024	8/17/2024	10060342
	Junge	Paul		X	MI08	2024	5/14/2024	30021381
	Kahrs	Jeff		C	KS02	2024	5/18/2024	10061914
	Kalata	Ryan Michael		D	NY01	2024	5/14/2024	40003643
	Kalata	Ryan Michael		X	NY01	2024	5/14/2024	30021433
	Kale	Andrea Doria		C	FL17	2024	5/1/2024	10059514
Hon.	Kamlager-Dove	Sydney		O	CA37	2024	6/5/2025	10067024
Hon.	Kamlager-Dove	Sydney		X	CA37	2024	5/13/2025	30023554
	Kane	Caroline		C	TX07	2024	5/10/2024	10060549
	Kangas	Jolian		W		2024		8220417
	Kaplan	Anna		W	NY03	2024	4/22/2024	7937
Hon.	Kaptur	Marcy		O	OH09	2024	5/14/2025	10067506
	Kasama	Heidi		W	NV03	2024	7/9/2024	7991
	Kasama	Heidi		X	NV03	2024	5/17/2024	30022157
	Kaufman	Joe		X	FL23	2024	5/15/2024	8220373
	Kaul	Krystle Veda		X	VA10	2024	5/1/2024	8220241
	Kavanaugh	Dominick		C	IN08	2024	4/8/2024	10056945
Hon.	Kean	Thomas H.	Jr	O	NJ07	2024	8/13/2025	10066042
Hon.	Kean	Thomas H.	Jr	X	NJ07	2024	4/16/2025	30022657
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	1/26/2024	20024309
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	2/20/2024	20024509
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	3/18/2024	20024685
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	5/30/2024	20025059
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	6/18/2024	20025291
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	7/20/2024	20025478
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	8/13/2024	20025671
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	8/19/2024	20025681
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	9/20/2024	20025886
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	10/15/2024	20026021
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	12/16/2024	20026408
Hon.	Keating	William R.		O	MA09	2024	5/15/2025	10066140
Hon.	Keating	William R.		P	MA09	2024	1/16/2024	20023767
Hon.	Keating	William R.		P	MA09	2024	2/5/2024	20024445
Hon.	Keating	William R.		P	MA09	2024	3/12/2024	20024668
Hon.	Keating	William R.		P	MA09	2024	5/2/2024	20024852
Hon.	Keating	William R.		P	MA09	2024	5/22/2024	20025119
Hon.	Keating	William R.		P	MA09	2024	6/21/2024	20025226
Hon.	Keating	William R.		P	MA09	2024	9/24/2024	20025891
Hon.	Keating	William R.		P	MA09	2024	11/6/2024	20026091
	Keller	Maura		C	GA03	2024	4/21/2024	10056913
	Kelly	Durand Todd		A	KY06	2024	2/7/2024	10056743
	Kelly	Durand Todd		C	KY06	2024	2/6/2024	10056632
Hon.	Kelly	John Trent		O	MS01	2024	5/6/2025	10067088
Hon.	Kelly	Mike		O	PA16	2024	8/9/2025	10066111
Hon.	Kelly	Mike		P	PA16	2024	1/12/2024	20024300
Hon.	Kelly	Mike		P	PA16	2024	2/13/2024	20024494
Hon.	Kelly	Mike		P	PA16	2024	3/11/2024	20024654
Hon.	Kelly	Mike		P	PA16	2024	6/14/2024	20025280
Hon.	Kelly	Mike		P	PA16	2024	7/3/2024	20025281
Hon.	Kelly	Mike		P	PA16	2024	8/13/2024	20025660
Hon.	Kelly	Mike		P	PA16	2024	8/13/2024	20025661
Hon.	Kelly	Mike		P	PA16	2024	9/3/2024	20025773
Hon.	Kelly	Mike		P	PA16	2024	10/15/2024	20026023
Hon.	Kelly	Mike		P	PA16	2024	11/13/2024	20026212
Hon.	Kelly	Mike		P	PA16	2024	12/12/2024	20026380
Hon.	Kelly	Mike		X	PA16	2024	5/2/2025	30022997
Hon.	Kelly	Robin		A	IL02	2024	8/11/2025	10072048
Hon.	Kelly	Robin		O	IL02	2024	8/4/2025	10068385
Hon.	Kelly	Robin		X	IL02	2024	5/13/2025	30023557
	Kemp	Patricia		C	FL15	2024	7/19/2024	10061141
	Kemp	Patricia		X	FL15	2024	5/17/2024	30021744
	Kennedy	David R.		C	VA08	2024	6/11/2024	10061919
	Kennedy	John Perkins		W	TN06	2024	5/14/2024	7970
	Kennedy	Mike		C	UT03	2024	3/29/2024	10056941
Hon.	Kennedy	Mike		H	UT03	2024	8/12/2025	10066533
Hon.	Kennedy	Mike		X	UT03	2024	4/22/2025	30022780
Ms.	Kennedy	Sandra Denise		C	FL08	2024	5/15/2024	10061792
Hon.	Kennedy	Timothy		O	NY26	2024	5/14/2025	10068878
	Kent	Joseph		C	WA03	2024	5/14/2024	10060803
Mr.	Kenworthy	Jon Michael		W	IN03	2024	5/14/2024	7968
	Kerr	Joseph		C	CA40	2024	8/7/2024	10060853
	Kerr	Joseph		X	CA40	2024	5/14/2024	30021627
	Khan	Gulrez		W	TX32	2024	4/23/2024	7943
Hon.	Khanna	Rohit		A	CA17	2024	2/4/2026	8221318
Hon.	Khanna	Rohit		O	CA17	2024	8/13/2025	9115596
Hon.	Khanna	Rohit		P	CA17	2024	2/5/2024	8220127
Hon.	Khanna	Rohit		P	CA17	2024	3/6/2024	8220173
Hon.	Khanna	Rohit		P	CA17	2024	4/5/2024	8220192
Hon.	Khanna	Rohit		P	CA17	2024	5/6/2024	8220252
Hon.	Khanna	Rohit		P	CA17	2024	6/5/2024	8220451
Hon.	Khanna	Rohit		P	CA17	2024	7/8/2024	8220534
Hon.	Khanna	Rohit		P	CA17	2024	8/7/2024	8220570
Hon.	Khanna	Rohit		P	CA17	2024	9/6/2024	8220626
Hon.	Khanna	Rohit		P	CA17	2024	10/4/2024	8220660
Hon.	Khanna	Rohit		P	CA17	2024	11/8/2024	8220674
Hon.	Khanna	Rohit		P	CA17	2024	12/5/2024	8220691
Hon.	Khanna	Rohit		P	CA17	2024	1/8/2025	8220711
Hon.	Khanna	Rohit		X	CA17	2024	5/9/2025	8220874
	Kidd	Larry		C	OH02	2024	2/2/2024	10056489
Mr.	Kidd	Robert G		C	NV02	2024	9/12/2024	10059116
	Kidd	Robert Gregory		X	NV02	2024	4/30/2024	30020916
Hon.	Kiggans	Jennifer		A	VA02	2024	6/11/2026	10079858
Hon.	Kiggans	Jennifer		O	VA02	2024	8/13/2025	10067550
Hon.	Kiggans	Jennifer		X	VA02	2024	5/7/2025	30023159
	Kilbourn	Kyle		C	WI07	2024	4/20/2024	10058861
Hon.	Kiley	Kevin		O	CA03	2024	8/12/2025	10068665
Hon.	Kiley	Kevin		X	CA03	2024	5/14/2025	30023704
Hon.	Kim	Andy		T	NJ03	2024	4/6/2026	9115723
	Kim	David		C	CA34	2024	5/15/2024	10061389
Dr.	Kim	Heerak Christian		C	VA08	2024	4/26/2025	10066781
Hon.	Kim	Young		A	CA40	2024	12/8/2025	10072940
Hon.	Kim	Young		O	CA40	2024	7/17/2025	10067055
Hon.	Kim	Young		X	CA40	2024	4/30/2025	30022959
	King	Bob		C	TX21	2024	5/5/2024	10059806
	King-Hinds	Kimberlyn Kay		C	MP01	2024	12/9/2024	8220701
Hon.	King-Hinds	Kimberlyn Kay		H	MP00	2024	8/12/2025	10067695
Hon.	King-Hinds	Kimberlyn Kay		X	MP00	2024	5/8/2025	30023212
